stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,10.7,1.07,0,6.42,0,0,0,0,1.07,1.07,1.07,0,0,0
21Day,0,1.34,0,1.34,0,0,0,1.34,0,0,4.02,1.34,0,48.19,2.68,0,2.68,2.68,0,5.35,20.08,1.34,0,0
3Month,0.32,0,0,0,0,1.92,0,0,0,0.64,1.28,0.32,0.32,0,0.32,0.32,0,0,0,0,0,0,0.64,0.32
22Month,0,0.55,0,0,0.55,5.47,0.55,0,0.55,0,2.19,1.09,0,0,0,0,0,0,0,0,0,0,0,0
