stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,9.63,3.21,2.14,0,0,0,0,0,0,0,0,0,0,5.35,7.49,0,40.65,0,0,0,3.21,19.26,33.16,0,0,3.21,0,0,11.77,1.07,1.07,0,0
21Day,2.68,1.34,0,5.35,0,1.34,0,0,0,0,0,0,0,0,1.34,0,4.02,8.03,0,20.08,0,0,1.34,0,12.05,14.72,0,0,2.68,4.02,0,1.34,1.34,1.34,0,0
3Month,0.32,1.28,1.28,24.64,0,0,0,0,9.92,1.6,0.32,0,14.4,1.6,0.64,5.12,77.75,5.76,2.88,4.48,1.28,0,0.32,54.07,0.64,0,0.64,0.32,0.96,5.12,1.6,0.32,0,0,2.56,0.32
22Month,0,2.73,0,18.04,0,0,0.55,0.55,4.37,1.09,1.64,0,61.77,0.55,1.09,4.92,7.65,2.73,0.55,5.47,0,0.55,1.64,2.73,1.09,1.09,1.09,0,0.55,3.28,0,0,0.55,0,0,0.55
