stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,568.01,4.09,16.35,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,53.12,0,0,0,0,12.26,249.27,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,312.38,4.28,11.77,16.05,7.49,1.07,0,0,0,0,0,0,0,3.21,18.19,1.07,29.95,0,2.14,4.28,0,799.13,85.58,1.07,7.49,0,51.35,0,0,43.86,10.7,12.84,12.84,0,0,0
21Day,190.07,1.34,4.02,6.69,10.71,0,0,0,0,1.34,0,4.02,1.34,0,4.02,1.34,41.49,0,0,9.37,0,151.25,16.06,0,0,0,18.74,6.69,0,6.69,6.69,8.03,4.02,0,0,0
3Month,4.16,1.28,2.56,0.64,0,0,0.32,2.88,0,38.07,0.32,0,2.56,1.6,1.28,0.32,10.88,2.56,0,2.56,2.24,2.56,0.32,2.56,2.56,0,0.32,1.6,15.36,1.28,0,0,0.96,0.32,0.64,0.96
22Month,0,3.83,1.64,2.19,0,0,2.19,2.73,0,17.49,0.55,0,4.37,0.55,0,1.64,4.92,0,0,1.09,0,3.28,0,2.19,0,1.09,0,0,21.32,1.64,2.19,0,0,0,0,0
