stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,2.14,0,0,0,1.07,79.16,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,21.42,2.68,1.34,0,2.68,0,0,0
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0.32,0,0,0.64,0.32
22Month,0,0.55,0,0,1.09,0.55,1.09,0,0,0,0,0,0,0.55,0,0
