stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
3Month,0.96,1.28,1.28,0.32,0.64,0.32,0.64,0.64
22Month,0,2.19,0,0,0,0,0,0
