stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,2.24,0,0,7.36,0,1.6,0.32,0.32,0.64,0,0,0.32,0,0.32,0.32,0,0.32,0.32,0.64
22Month,0,1.09,0.55,10.93,1.09,0.55,7.65,19.13,0,1.09,0,1.64,1.64,2.19,0,3.28,0,0.55,0.55,0,0,1.09
