stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,269.7,0,4.09,0,0,8.17,0,4.09,98.07,0,12.26,61.3,4.09
72hpf,0,0,12.84,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,4.02,2.68,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.32,0,0.32,0,0,0.32,0.32,0,0.64,0,0,0,0,0,0
