stage,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0,1.28,0,0.64,0,0,1.6,0.64,0,0.32,0,0.32,0.64,0,0,0,0.32,0,0,0,0,0,0,1.28,0.96,0,0,0.32,0.64
22Month,1.09,0.55,4.37,0.55,0.55,5.47,1.64,52.48,2.73,1.64,5.47,0,0,3.28,4.37,1.64,0.55,0,0.55,0,1.09,1.09,154.16,0,0,0.55,0.55,0.55,0,1.09
