stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,8.17,20.43,0,0,0,0,0,12.26,4.09,24.52,0,4.09,0,0,0,159.37,0,4.09,0,0,0
72hpf,1.07,0,1.07,2.14,0,0,2.14,0,3.21,0,3.21,0,1.07,0,0,6.42,27.81,0,3.21,0,1.07,0
21Day,1.34,0,2.68,18.74,4.02,0,0,1.34,0,1.34,1.34,0,0,1.34,0,2.68,16.06,2.68,2.68,1.34,2.68,2.68
3Month,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0,1.28,0,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0
