stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,8.17,0,0,0,0,0,0,0,8.17,0,8.17,12.26,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,1.07,0,0,1.07,18.19,5.35,1.07,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0.32,0.32,0.96,0,0.64,2.88,0.32,0.96,0.32,0,0.32,0.64,0.32,2.24,8,0,0,0.32,0,6.4
22Month,0,0,5.47,0,0,6.01,2.19,0.55,0,2.19,4.37,0,0,1.64,11.48,0,1.09,0,0,0
