stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,7.49,0,0
21Day,2.68,1.34,0,6.69,9.37,0,0,2.68,0,2.68,0,0,2.68,2.68,5.35,0,4.02,2.68,0,0,1.34,2.68,1.34,0,2.68,2.68,211.49,0,0
3Month,0,0,0.32,4.16,0,0.32,0.32,4.16,0.32,0.32,0.32,0.32,0.64,0.64,1.6,0.32,0.32,0,0.32,0,0.32,0.32,28.48,0.96,0,0,0.64,31.99,0.64
22Month,0,0,0,1.09,0,0,0.55,3.83,0,0,0.55,0,0,0,0.55,0,0.55,0,1.09,2.73,0,0,8.2,0,0,0,0.55,0,0
