stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,16.35,0,0,0,0,12.26,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,3.21,0,3.21,0,0,0,2.14,0,0,0,0,1.07,0,7.49,10.7,0,8.56,0,3.21,0,0,14.98,17.12,0,0,6.42,2.14,0,1.07,0,0,0,0,0
21Day,22.76,1.34,2.68,45.51,1.34,9.37,0,13.39,1.34,1.34,4.02,0,12.05,2.68,5.35,20.08,4.02,56.22,0,0,4.02,1.34,13.39,9.37,0,0,22.76,12.05,1.34,4.02,0,1.34,2.68,0,2.68
3Month,0,0.64,0.64,8.96,0,0,0,0.96,0.96,2.24,18.24,1.6,1.6,4.48,0.64,1.6,4.16,2.24,0.64,0,0.96,0.64,0,0,0.64,0,0.32,0.96,4.8,0,0,0,0,1.28,1.6
22Month,0,1.09,0.55,3.28,0,0,0.55,0.55,0.55,12.57,88.01,0,4.92,12.57,1.09,0,7.65,3.28,0,1.09,0.55,0,0,0,0,1.09,0,1.64,6.56,0.55,0.55,0,0,0,2.73
