stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,28.6,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,2.14,0,0,0,0,0,0,1.07,4.28,0,5.35,0,5.35,4.28,0,4.28,0,0,2.14,1.07,0,0
21Day,2.68,1.34,2.68,1.34,4.02,0,4.02,0,4.02,0,1.34,4.02,0,12.05,2.68,2.68,4.02,0,2.68,1.34,0,0,0,0,0
3Month,0,0,8,0,0,1.28,0.96,2.56,0,2.24,0.64,4.16,2.24,0.32,0,0,0,0.32,0,0,8,0,0,1.28,2.56
22Month,0,1.09,0,0,0,1.09,3.83,0,0,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0
