stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Muscle_cell,Oligodendrocyte,T_cell
21Day,2.68,1.34,0,1.34,5.35,1.34,0,1.34,0,5.35
3Month,0.64,0,0,0.64,0,0,0.32,0,0.32,0.32
22Month,0.55,0,0.55,0,0.55,0,0,0,0,0
