stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,52.2,2.68,8.03,0,4.02,0,0,2.68,0,0,16.06,0,4.02,1.34,4.02,0,0,1.34,0,1.34,2.68,0,0,0,1.34,2.68,0,1.34,2.68,1.34,0,0,0
3Month,1.28,1.28,61.43,21.12,0,1.6,651.1,5.12,0,55.67,8.32,0.64,240.28,2.24,6.08,4.8,7.36,2.24,0.64,2.24,1.92,0,0.32,2.56,0.64,0,0.32,2.88,4.8,0.32,0,0,1.6,4.16,2.88
22Month,0,1.64,45.37,19.13,0,1.09,185.86,1.64,1.09,43.73,2.19,0,536.27,0.55,0,3.83,2.19,0.55,1.09,1.09,0,0,0,4.92,1.64,1.09,0,1.09,3.83,4.37,0,0,0,0,1.64
