stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,73.56,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,46,0,0,0,0,0,0,0,0,2.14,77.02,0,2.14,0,0,0,4.28,5.35,5.35,0,0,2.14,0,1.07,0,0,0
21Day,2.68,6.69,13.39,0,0,0,0,0,0,0,0,0,9.37,1.34,8.03,0,0,0,12.05,0,12.05,1.34,4.02,0,1.34,1.34,0,0,0
3Month,0,3.2,9.28,0.32,0,0.96,0,5.44,0.32,0.32,4.48,1.28,23.36,1.6,7.36,0.64,1.92,1.28,0.32,0.32,0,0.32,22.4,0,0,0.32,15.04,6.72,1.28
22Month,0,2.73,2.19,0,0.55,0.55,0.55,17.49,1.09,0,1.64,0,1.09,0.55,4.92,0,0.55,0,0,0,0,0,12.03,0,0,0,5.47,0,0.55
