stage,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Primordial_germ_cell
3Month,0.32,7.36,0.32,0.32,0.64,0
22Month,0,4.92,0,0,0.55,0.55
