stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,13.91,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,8.03,0,6.69,0,1.34,0,6.69,0,0,2.68,62.91,0,1.34,1.34,72.28,6.69,0,0,0,0,4.02,0,0,4.02,5.35,0,0,0,1.34,0,0,80.31
3Month,0.96,2.88,10.24,0.64,0,2.88,0,2.24,62.71,0,10.88,74.23,3.84,4.48,1.28,2.56,167.65,7.04,0.96,0,0.96,0.96,0.64,0.32,1.28,0.64,3.84,0.64,4.16,0.32,0,0.64,3.52,315.79
22Month,0,0.55,3.83,0,0,0,0,0,81.45,1.09,15.85,32.8,2.73,2.19,0.55,1.09,141.58,3.83,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,98.4
