stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,8.17,32.69,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,4.28,1.07,0,0,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,14.72,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0,0.64,0,1.28,0,0,1.92,0.96,0.32,0.32,0,17.28,1.6,0,0.96,0.96,0.32,1.92,1.28,0,0.64,0,0,0.32,0,0,0,0,2.56,0,0,0,0.32,3.84
22Month,0.55,5.47,2.73,9.29,0.55,0,2.73,1.09,1.09,13.67,22.96,220.3,2.19,0.55,2.73,0,1.64,4.37,5.47,6.01,2.73,1.09,0,0.55,0.55,281.53,1.09,0,2.19,1.09,0,0.55,0,2.73
