stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,0,0
21Day,1.34,4.02,0,0,0,0,0,0,0,1.34,0,1.34,0,2.68,0,0,0,0,0,0
3Month,0,1.28,0,0.32,0,3.84,0.64,0.32,1.6,0,0.32,0.32,0,0,0.64,8.64,0,0,0.32,9.28
22Month,0,0,0,0,0.55,1.09,0,1.09,0,0,0,0,3.83,0,0,0,0,0,0,0
