stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0,5.35
3Month,0,0.32,0,0.32,0.64,0.96,0,4.8,0,0.32,0,0,0.64,0.32,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0.55
