stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,12.26,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,10.7,119.82,0,0,0,0,0,0,0,0,16.05,0,1.07,0,0,0,0,4.28,0,0,0,9.63,0,0,0,1.07,0,0,0,0,0
21Day,0,0,8.03,136.53,4.02,0,0,1.34,0,0,2.68,2.68,18.74,0,4.02,0,0,0,1.34,1.34,0,0,0,6.69,2.68,0,0,1.34,1.34,0,0,0,0
3Month,0.96,0,50.23,20.16,0,2.56,3.52,14.72,2.88,0.96,6.4,2.88,3.2,2.24,2.56,1.28,0.32,1.28,2.24,2.24,0.32,0.32,2.24,2.88,2.24,0.32,5.44,0,0,0.64,0.96,430.65,2.56
22Month,0,0.55,28.43,5.47,0,0.55,0.55,12.03,0,0,1.09,1.09,1.64,0.55,1.09,0,0.55,0,0.55,0,0,0.55,0.55,1.64,0,0,1.64,0,0,0,0.55,0.55,0
