stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,106.25,0,0,0,0,8.17,53.12,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,0,1.07,0,1.07,0,0,0,1.07,0,0,0,0,0,2.14,7.49,0,165.82,0,5.35,2.14,0,33.16,8.56,0,109.12,0,0,4.28,1.07,0,4.28,0,0,0
21Day,5.35,0,0,8.03,0,2.68,0,0,0,0,1.34,2.68,0,2.68,0,1.34,2.68,1.34,172.67,0,0,22.76,0,6.69,8.03,2.68,54.88,4.02,0,0,1.34,5.35,2.68,0,0,1.34
3Month,0.32,0.96,0,10.24,0.32,0,0.64,0.32,0.96,3.52,0,60.15,1.6,0.32,3.84,2.88,3.2,2.24,32.31,5.76,0.32,2.56,6.08,1.28,0.32,0.64,0.32,0.64,2.56,0,0,0,0,23.04,1.92,1.6
22Month,0.55,0.55,2.19,16.95,0,0,0,0,1.64,6.01,7.65,194.61,2.73,0.55,7.65,1.09,1.09,4.37,21.32,1.64,8.75,1.09,1.09,0.55,0.55,2.19,1.09,0.55,1.09,0,0,0,0,2.19,0,0.55
