stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,8.17,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,10.7,5.35,2.14,0,0
21Day,0,4.02,0,0,0,0,4.02,0,1.34,0,0
3Month,0,0.32,0.96,0,0,0,0,0,0,0.64,0.32
22Month,0,0.55,12.03,1.09,0,1.09,0,0,0,1.09,0
