stage,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,73.82,1.07,2.14,1.07,0,0,3.21,0,0
21Day,17.4,0,0,0,13.39,1.34,0,0,1.34,0,0,0,0
3Month,5.44,0,0.32,0.32,0,0,0,0,0,0.64,0,0.32,0.32
