stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,4.09,0,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,24.61,0,0,2.14,1.07,1.07,0,0,0,0,0,0,0,1.07,0,2.14,10.7,0,10.7,0,0,1.07,0,11.77,11.77,1.07,1.07,0,16.05,0,2.14,0,0,0,0
21Day,0,0,0,14.72,0,0,0,0,0,0,0,0,0,0,0,0,29.45,0,4.02,0,0,1.34,0,0,1.34,0,0,0,2.68,0,0,1.34,0,0,0
3Month,0.64,1.6,0.32,36.79,0,0,0.32,1.6,4.16,4.8,0,9.6,11.2,1.28,7.68,3.2,6.4,6.72,7.04,0.96,0,1.92,1.28,1.28,0.32,0.96,0.32,0,0.32,9.6,0,0,3.84,1.92,11.2
22Month,0,10.93,1.64,17.49,0,0,2.73,1.09,1.64,20.77,3.28,65.05,6.56,2.19,32.8,3.83,2.19,6.01,13.12,0.55,1.09,2.73,0.55,0.55,0,1.09,0.55,1.09,0.55,4.92,0.55,0,1.09,0,7.65
