stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,12.05,0,0,0,0,0,2.68,0,2.68,8.03,20.08,4.02,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0.96,40.31,0.96,0.64,0.64,6.08,0.32,0.32,6.08,22.4,1.6,14.08,0.32,0,0.32,0.32,1.6,0.32,0.64,1.28,0.32,1.28,1.28
22Month,0,9.29,0,0,1.64,20.77,0,0,1.09,1.64,0.55,7.11,3.83,0.55,0.55,0,0.55,0.55,0,0,0,0,0
