stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,6.42,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,1.34,1.34,0,1.34,2.68,0,5.35,0,0,0,0,0,0,0
3Month,0.32,0,0.32,0,0.64,1.28,0.32,0.32,0.32,0.32,0.32,1.28,0,0.64,0,0,0,0.64,0,0.32,1.28,0.64
22Month,0,0.55,0.55,0.55,0.55,8.2,0.55,0,1.09,0,0,1.64,1.09,0.55,0.55,0.55,0.55,0.55,1.09,0,0,0
