stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,0,2.14,2.14,0,0,4.28,1.07,0
21Day,0,0,0,4.02,1.34,0,0,1.34,0,0,0,0,0,1.34,1.34,0,0,2.68,0,2.68,0,0,0,0,0,0,0
3Month,0.32,0.64,0,1.6,0,0.32,0,1.92,1.92,0,0,0.32,0.64,0.32,0.32,0.32,0,0,0.64,0,0,0,0.32,0.64,0,0,0.96
22Month,0,0.55,0.55,0.55,0,0.55,0.55,1.64,36.63,0.55,1.64,0.55,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0,3.28,0.55,0,0
