stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,16.35,0,16.35,0,0
72hpf,0,1.07,1.07,2.14,0,1.07
21Day,1.34,0,2.68,1.34,1.34,0
