stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,28.6,16.35,0,0,0,0,8.17,4.09,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,1.07,3.21,0,0,0,0,0,0,0,0,0,0,1.07,7.49,1.07,96.28,0,2.14,0,0,18.19,5.35,0,344.47,0,0,2.14,0,0,2.14,0,0,0
21Day,0,0,0,5.35,0,10.71,0,1.34,0,0,0,0,0,0,0,1.34,1.34,14.72,16.06,194.09,0,0,0,0,37.48,2.68,0,380.14,4.02,0,0,1.34,2.68,0,0,0,5.35
3Month,0,1.92,0.32,20.16,0,0,0.64,0.32,7.04,1.92,10.56,0,20.16,5.44,1.28,3.84,2.24,248.6,37.75,358.02,6.72,0,2.24,0.64,2.56,0,1.28,1.92,3.2,3.52,0.32,0,0,0.32,5.44,1.92,3.84
22Month,0,1.64,0.55,7.65,0,0,0.55,0,0,0.55,15.85,0,40.45,1.09,2.19,0.55,1.09,21.32,81.45,65.6,2.19,0.55,0.55,0,0.55,0,1.09,0,0,2.19,0,0,0,0,0.55,0,7.11
