stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,1.07,0,0,0,0,1.07,1.07,2.14
21Day,0,1.34,0,0,0,1.34,2.68,1.34,1.34,0
22Month,0,0,0,1.09,0.55,0,0,0,0,0
