stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,14.98,0,0,0,0,0,0,2.14,0
21Day,1.34,1.34,2.68,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0,0.64,6.4,6.4,0,1.92,0.64,26.88,0.32,0.32,2.24,0.32,4.16,0,0.32,0,0.32
22Month,0,4.92,2.19,4.37,0.55,1.09,0,15.31,0,0,0.55,0,0.55,1.09,0.55,0,0
