stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,40.86,32.69,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,7.49,2.14,0,1.07,0,0,4.28,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,1.34,2.68,0,2.68,0,1.34,0,0,2.68,1.34,6.69,0,0,4.02,24.09,1.34,0,0,0,0,8.03,1.34,0,0,0,1.34,1.34,0,1.34,0,0,0,0,18.74
3Month,0.64,2.88,0.64,34.55,0.96,0,2.56,0.32,11.84,97.9,0,0,21.44,148.46,6.72,9.6,3.52,5.44,294.35,11.2,1.28,0.32,3.52,2.24,0.96,0.32,2.24,0,0,0.64,4.8,0.32,27.84,0.32,0,1.92,15.04,350.66
22Month,1.64,4.92,0.55,12.57,1.09,0,1.64,1.09,2.73,242.71,1.09,0,49.2,103.32,13.12,5.47,0,0.55,370.63,13.67,0,1.64,2.19,0,0.55,1.64,2.73,1.64,0.55,0,2.19,0,8.75,1.09,0.55,0,0,105.5
