stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,8.17,0
72hpf,0,0,1.07,0,0,0,0,0,0,40.65,0,1.07,0,0,2.14,0,0
21Day,1.34,4.02,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0
3Month,0,0.96,0,0,0,2.24,0,0.64,0.32,0.32,0.96,0.64,0,0.32,0,0,0.32
22Month,0,0.55,0,1.64,0.55,2.73,0.55,1.09,0.55,0,0,0.55,0.55,0,0,0,0
