stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,90.93,3.21,0,0,0,0,0,0,0,2.14,0,0
21Day,1.34,0,0,1.34,0,0,0,0,1.34,4.02,0,0,34.8,0,0,0,4.02,1.34,0,1.34,2.68,0,0,1.34
3Month,0,0.32,0.64,0,1.28,1.6,0.64,0.96,0,0.32,0.32,0.32,1.92,0,0.64,0.32,0,0.32,2.88,0,0,0,49.27,1.28
22Month,0,0,0.55,0,0,1.64,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0
