stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,2.68
3Month,0.32,0.32,6.4,0.32,1.28,0.64,0.96,17.6,4.48,6.4,1.92,13.12,0.96,3.84,6.72,4.48,0.64,0,7.04,0.32,0.32,0,0.32,0,0.32,1.92,0,17.92,2.56,5.44,23.36
22Month,0,0,0.55,0,0,0,0.55,6.56,6.01,3.28,0.55,3.28,0,0.55,6.01,0.55,0,0.55,0.55,0,0,0,0,0.55,0.55,0,0.55,9.84,0,0,2.19
