stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,12.26,0,4.09,0,0,0,0,0
72hpf,4.28,0,0,2.14,7.49,0,0,0,0,0,0,0,3.21,0,20.33,0,0,6.42,5.35,0,13.91,0,0,0,2.14,0
21Day,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,20.08,0,0,1.34,0,0,1.34,1.34,0,0,2.68,0
3Month,0,0.64,0.96,0.96,0,0.64,0,0,0.64,1.6,0,0,1.28,0.32,4.16,1.6,0.64,0,0,0,0,0.32,1.6,0.32,0,3.84
22Month,0,0.55,0.55,0.55,0,1.09,0,0.55,0.55,3.28,0.55,1.09,0,0.55,2.19,0.55,0,0,0,2.19,0,0,0.55,0,0,0
