stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,28.6,0,0,0,8.17,151.2,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,4.28,0,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,0,26.74,22.47,0,0,1.07,1.07,0,1.07,0,0,0,0
21Day,2.68,0,2.68,4.02,12.05,0,16.06,0,1.34,0,5.35,1.34,0,0,0,5.35,0,1.34,0,9.37,14.72,0,0,8.03,0,2.68,4.02,2.68,1.34,0,1.34
3Month,0,0.32,3.52,0,0,0,0,0.32,3.52,0.64,0.32,4.48,0.32,0.96,0.32,0.96,0.32,0,0.96,0.32,0,0,0,0,0.32,32.95,0,0,0,6.08,0
22Month,0,0,0.55,0,0,1.09,0,0.55,6.56,0.55,0,6.56,0,0.55,0,0.55,0,0,0,1.09,0,0.55,2.73,0,0,10.93,0.55,0,0,0,0
