stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,8.17,0,0,0,8.17,102.16,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,2.14,2.14,0,0,0,0,0,0,0,2.14,0,3.21,5.35,0,4.28,0,0,1.07,35.3,18.19,0,0,2.14,0,0,1.07,0,0,0,0
21Day,6.69,0,16.06,0,4.02,0,2.68,0,0,0,1.34,0,0,0,0,5.35,1.34,13.39,0,0,1.34,9.37,6.69,0,1.34,4.02,0,0,1.34,1.34,0,0,0
3Month,0.32,0.32,8,0.32,0,0.32,0.32,1.92,1.6,0,19.52,2.24,0.32,6.4,1.6,2.88,1.6,2.56,0.96,0,0,0,0,0.32,0.32,0.32,1.6,7.04,0,0.32,1.92,1.92,0.64
22Month,0,0,3.83,0,0,0.55,0,1.09,1.64,1.09,21.87,1.64,0,8.75,0.55,1.09,1.64,3.83,0,0.55,0,0,0,0,0.55,0,0.55,10.93,0,0,0,0,1.64
