stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,2.14,0
21Day,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,1.34,1.34,1.34,0,0,0,0
3Month,1.6,5.44,0,1.28,0.96,6.08,1.28,1.6,6.72,0.64,0.32,0.32,0.32,52.79,0,1.92,0,0.96,0,0.64
22Month,0,2.19,0.55,0,1.09,12.03,0,1.09,0,0.55,2.73,0,0,0.55,0,0,0,0,0,0
