stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,8.03,1.34,0,0,0,0,0,1.34,0,1.34,21.42,0,0,8.03,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,1.28,9.28,0,0,0,1.28,2.56,0,23.68,1.6,0,113.26,1.28,0.64,8.64,0.32,0.32,0,0.32,0.64,0,0,0.96,0,0.64,1.6,0,0.32,0.32,1.6
22Month,2.73,4.92,25.15,66.15,0,19.13,0.55,53.57,17.49,5.47,4029.39,2.19,5.47,245.45,6.01,6.56,42.09,16.4,1.09,35.53,4.92,11.48,1.09,0,28.97,2.19,9.84,0,0.55,7.11,0,32.25
