stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,4.09,4.09,20.43,0,0,0,0,12.26,8.17,57.21,0,0,0,24.52,625.22,0,0,12.26,0,0,0
72hpf,3.21,1.07,1.07,0,0,0,1.07,7.49,0,9.63,0,0,1.07,14.98,32.09,0,1.07,12.84,0,2.14,0
21Day,2.68,1.34,13.39,2.68,1.34,4.02,0,1.34,0,16.06,0,4.02,0,13.39,18.74,1.34,0,12.05,1.34,6.69,1.34
22Month,0,0,0.55,0,0,0,0,0,0,1.09,0.55,0,0,0,0,0.55,0,0,0,0,0
