stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,3.21,2.14,2.14,0,0
21Day,1.34,0,1.34,0,0,0,12.05,1.34,5.35,1.34,4.02,0,0
3Month,0,0.64,0,0.32,1.28,1.28,0.96,0,0.32,0.32,0.32,0.96,1.28
22Month,0,0,0,0,4.37,0,0.55,0,0,0,0,0,0
