stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0,0,0.32,0,0,0,0,0,0.32,0
22Month,0.55,0,0.55,1.09,0.55,5.47,1.09,1.09,0,0,0,0.55,1.09
