stage,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,8.17,0,0
72hpf,1.07,1.07,0,2.14,0,12.84,3.21,0,2.14
21Day,2.68,0,1.34,4.02,0,2.68,0,1.34,0
3Month,0,0,0,0.32,0.32,0,0,0,0
