stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,2.88,0.64,0.96,0.96,31.36,4.16,2.24,0.96,1.6,0.64,0.64,0.64,0.96,0.32,0.32,0,0.64,77.75,0.96,123.5,1.28
22Month,0,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,12.03,0,0,0
