stage,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,3.21,2.14,3.21,0
21Day,0,0,0,0,0,6.69,0,0
3Month,0.32,0,0.32,0,0.32,0,0,0
22Month,0,0.55,0,0.55,0,0,0,0.55
