stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,12.26,16.35,61.3,4.09,0,0,0,12.26,0,0,0,0,44.95,20.43,65.38,0,0,20.43,314.65,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,18.19,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
22Month,0.55,3.83,3.83,0,1.09,7.11,1.64,0,34.99,3.83,0.55,2.73,0.55,1.09,7.65,1.64,2.19,0,1.09,0.55,1.64,425.84,0.55,0,2.73,1.09,1.09
