stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,6.69,0,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,9.92,0,0.64,0.32,0.32,1.92,2.88,1.6,0.32,5.12,0.96,3.52,1.6,0.32,0.32,0,0.32,0.96,0,0,0.96,0,0,0.64,0.96
22Month,1.09,2.73,0.55,0,0,0.55,0,8.75,0,0,8.2,0,2.19,2.19,0,0,0,0,0,0,0,2.73,0.55,0.55,0,0.55
