stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,1.07,9.63,0
21Day,0,10.71,0,0,0,28.11,0,0,0,1.34,0
3Month,0.32,9.28,0,0.32,4.48,0.96,0.64,0,0,0,0.32
22Month,0,0.55,0.55,0,2.73,0,1.64,0,0,0,0
