stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0
3Month,0.32,1.6,0,0,0,2.56,0.64,0.64,0,0.64,0.32,0,0,0,0,0,0.96,0,0.32,0,0,0.64,67.51,0,0,9.28,0.64
22Month,2.73,3.28,0.55,3.28,1.64,22.96,2.73,2.19,1.09,1.09,1.09,2.19,1.09,1.09,1.64,0.55,0.55,0.55,0,116.98,0.55,0,69.97,0,0.55,0,0
