stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0
21Day,4.02,0,1.34,0,0,0,0,1.34,0,0,0,0,2.68,1.34,0,0,2.68,1.34,1.34,0,0
3Month,0.32,0.32,0.32,0.32,0.32,0.32,0.32,2.56,0.32,0.64,0,0.32,0.32,0.32,0.32,0.64,0,0,0,0.32,0.64
22Month,0,0,0,0.55,0,0.55,0,8.2,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0
