stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,7.49,16.05,75.96,0,0,0,0,0,1.07,0,0,0,126.24,53.49,0,1.07,0,5.35,0,0,27.81,10.7,1.07,1.07,12.84,0,0,2.14,0,0,0,0
21Day,2.68,0,1.34,34.8,6.69,234.24,0,2.68,0,0,0,0,0,0,1.34,353.37,45.51,5.35,14.72,0,0,0,0,58.9,2.68,0,1.34,1.34,5.35,0,0,2.68,6.69,0,1.34
3Month,0.32,1.28,0.64,9.92,0,0,0.64,0,0.32,1.92,0,5.12,1.6,0.32,2.88,282.84,13.44,2.24,4.48,0.32,0,0.96,0.96,0.64,0.32,0,0.96,0.32,0.32,1.28,0,0,0,0.32,0.96
22Month,0,0.55,0,2.19,0,0,0,0,0,1.64,1.64,9.84,0,0.55,0,14.21,5.47,0,1.09,0.55,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0.55
