stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,32.69,4.09,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,465.85,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,0,7.49,3.21,1.07,0,0,0,0,0,0,8.56,0,31.02,0,0,0,14.98,84.51,1.07,0,40.65,1.07,0,22.47,0,2.14,0,0
21Day,9.37,0,6.69,2.68,2.68,0,0,0,0,0,0,5.35,0,53.54,0,6.69,0,10.71,34.8,0,1.34,50.86,1.34,0,13.39,0,1.34,0,0
3Month,0,0.96,4.16,0.32,0,0,0,3.2,0,0.32,0.64,2.24,0.64,5.12,0.96,0,0,0,0,1.28,0,0.32,0.32,0.32,0,0,0.32,0.64,0.32
22Month,0,0.55,1.64,0,0,0.55,3.28,10.93,0.55,1.09,0.55,0.55,1.09,13.12,0,0,0.55,0,0,0,0.55,0,0,0,0.55,1.09,0,0,0.55
