stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,40.86,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,5.35,2.14,0,0,0,0,0,2.14,0,1.07,0,0,0,52.42,4.28,1.07,0,0,0,0,0,1.07,1.07,0,0,0
21Day,2.68,0,0,1.34,0,4.02,0,0,0,0,0,0,0,4.02,0,1.34,0,46.85,4.02,0,0,1.34,1.34,1.34,0,0,0,0,0,0
3Month,0,0,0.32,3.2,0,0,1.28,1.6,0.32,1.6,0.32,0,0,1.6,0.64,0.32,0,4.16,0,0,0.32,0,0.96,2.88,0,0,0,0.96,8.64,0.32
22Month,0,0.55,0,3.28,0,0,0.55,7.65,0,0.55,0,0,0.55,1.64,0,0,0,3.83,0,0,0,0,0,3.28,0.55,0,0,0,0,0
