stage,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell
72hpf,1.07,0,0,0,3.21,1.07
21Day,0,0,1.34,0,36.14,0
22Month,0,4.37,0,0.55,0,0
