stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,8.17,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,0,0,8.56,6.42,0,0,5.35,0,0,0,0,0,0,0
21Day,1.34,0,0,9.37,0,0,0,0,0,0,0,1.34,1.34,5.35,1.34,16.06,0,0,0,0,1.34,1.34,0,0,10.71,0,0,1.34,1.34,1.34,0,0
3Month,0,0.64,0.64,29.76,0,0.32,0.32,1.6,13.44,2.88,0.32,1.28,0.96,8.32,8.96,12.16,1.92,0.32,0.64,1.6,0.32,0.32,32.95,0,0,0.64,14.08,0.32,0,0,2.24,1.28
22Month,0,2.19,1.64,9.84,0,1.09,0,15.85,49.75,1.64,2.19,2.73,0.55,4.92,11.48,14.76,0.55,0.55,0,0.55,1.64,0,0.55,1.09,0,0,3.28,6.56,0.55,0,0,0
