stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,35.3,0,1.07,0,1.07,0,0,0,0,0,0,0,79.16,0,1.07,6.42,0,18.19,0,0,178.66,24.61,0,2.14,8.56,0,1.07,0,0,0,0
21Day,1.34,1.34,0,45.51,0,4.02,0,0,4.02,0,0,1.34,0,5.35,2.68,13.39,1.34,1.34,8.03,0,0,1.34,1.34,36.14,1.34,0,4.02,13.39,0,0,0,0,0,0
3Month,0,1.6,0,238.04,0,0,0,0,44.15,1.28,0,7.36,0.64,0.32,2.24,0.64,1.28,0.96,1.28,0.96,0,1.6,0.64,0.32,0,0,0.32,4.16,1.28,0.64,0,0,0.32,3.2
22Month,1.64,6.01,1.09,696.98,0.55,0,1.09,0,74.89,1.64,2.73,63.41,3.28,1.09,4.37,0,0.55,3.28,7.65,0,2.19,0.55,1.09,1.09,0,1.09,0,7.11,1.09,0.55,2.73,0.55,0,1.09
