stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,1.34,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0.32,50.55,0,0,0,0.32,0.32,0.32,2.24,0.32,0.32,1.6,0.32,5.12,1.28,1.28,0.96,0,0.64,0,0,0,0,0,2.88,0,0.64,0.64
22Month,0,2.19,0,73.8,0,1.64,0,12.03,6.56,0.55,48.11,1.09,0.55,65.6,1.09,50.84,4.92,2.73,0,1.09,0,0,0.55,0.55,1.64,0,3.28,0.55,0,1.64
