stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,2.14,0,1.07,0,4.28,3.21,0,3.21,0,2.14,0,0,4.28,5.35,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,2.68,5.35,0,2.68,4.02,0,0,0,0,1.34,0,0,0,1.34,1.34,1.34,2.68,0,0,1.34,0,6.69,1.34,0,0,0,1.34,0,0,1.34,0,2.68,0,0,0
3Month,0,0.64,1.28,23.04,0.64,0,0,0,3.2,1.28,0.32,107.18,1.28,0.32,13.44,2.88,3.52,1.92,4.16,0.96,0,0.32,0.96,2.56,0.32,1.92,0.32,0,0,1.92,12.8,0,0.32,0,2.24,2.24,1.92
22Month,0,0,0.55,2.73,0,0,0,0.55,1.09,0.55,1.09,34.99,0,1.64,7.65,1.09,0,4.92,0,0,0.55,0,0,0,0,0.55,1.09,0.55,0,0.55,1.64,0,0.55,0,0,0,0.55
