stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,16.35,0,20.43,0,0,0,0,8.17,159.37,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,4.28,3.21,5.35,0,0,0,0,0,0,0,0,1.07,0,8.56,14.98,2.14,4.28,0,3.21,0,0,12.84,17.12,0,0,3.21,0,0,5.35,0,0,0,0
21Day,2.68,1.34,0,29.45,1.34,12.05,0,1.34,1.34,0,0,0,4.02,1.34,5.35,4.02,1.34,13.39,5.35,10.71,0,0,2.68,0,14.72,5.35,2.68,0,4.02,2.68,0,5.35,1.34,0,0,4.02
3Month,0.32,3.2,1.92,37.75,0,0,0.96,1.6,7.04,4.16,0,0,79.67,7.68,1.92,29.76,4.48,8,6.08,7.36,1.28,0,4.8,5.44,1.28,0,3.2,1.92,0,0.96,22.08,0.32,0,2.56,103.34,9.28
22Month,0,4.37,1.64,9.29,0,0,0.55,0,4.92,4.92,2.19,0,124.09,2.19,3.83,25.15,0.55,4.37,10.39,3.83,0,0.55,2.73,0.55,0.55,0.55,1.09,1.09,0,1.09,3.28,0.55,0,0,0,3.28
