stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,5.76,3.84,1.28,1.28,0,2.88,0.64,0.32,12.16,0.32,0.96,0.64,1.92,0.32,0.32,0.64,0,0,1.28,0.32,0.32
22Month,0.55,0.55,0,0,0.55,6.56,0,0,10.93,0,0,0.55,1.09,0,0.55,0,0,0,1.09,0,0
