stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,1.07,9.63,3.21,0,1.07,1.07,0,0
21Day,1.34,0,0,0,0,0,16.06,12.05,0,0,4.02,0,1.34,1.34
3Month,0,0.32,0.32,0.32,0.32,0,0.96,0,0,0.32,0,0,0,0
22Month,0,0,1.09,0.55,0,1.09,0,0,0,0,0,0,0,0
